pic	position	err(pos)	largeur	err(lar)	integral	err(int) pression[mb]	
1	1660.02	0.25	6.83	0.21	1486.168 38.55	1.62		
1	1525.79	0.29	8.7	0.25	1542.36	39.27	102.4
1	1374.82	0.33	10.99	0.26	1600.78	40.01	199.7
1	1216.61	0.4	13.96	0.32	1674.84	40.92	300.5
1	1044.07	0.52	18.31	0.45	1664.61	40.8	401.3
1	855.9	0.59	21.59	0.49	1695.65	40.74	501.08
1	609.86	0.72	26.56	0.6	1615.09	40.19	608.7
1	349.35	1.17	30.9	1.31	1341.7	36.63	706.3
2	246.13	36.48	128.45	32.14	474.96	21.31	706.3
1	246.13	36.48	128.45	32.14	474.96	21.31	806.39
1	503.98	0.86	29.08	0.77	1511.56	38.8	653.9
1	329.75	1.16	32.07	1.26	1402.57	37.45	714.65
2	207.4	42.1	116.78	35.28	362.95	19.05	714.65
1	247.17	1	40.16	1.2	1525.44	39.05	738.8
1	172.24	1.36	45.47	1.32	1475.01	38.41	762.2
1	134.43	1.3	40.26	1.26	1290.85	35.93	774.5
1	134.43	1.3	40.26	1.62	1290.9	35.92	817.3

