pic	position	err(pos)	largeur	err(lar)	integral	err(int)	pression[mb]	temps[s]
1	2732.85	0.23	5.69	0.26	412.9	20.32	6.43	30
2	1899.94	0.63	9.11	0.65	242.96	15.59	6.43	
1	2653.17	0.36	7.28	0.33	460.25	21.5	100.7	
2	1741.73	0.85	11.2	1.06	253.24	25.11	100.7	
1	2564.43	0.45	8.97	0.42	445.97	21.12	200.42	
2	1619.05	1.4	14.61	2.21	177.23	13.21	200.42	
1	2461.22	0.6	11.52	0.62	429.58	20.73	300.6	
2	1474.6	1.61	18.89	1.98	235.1	15.33	300.6	
1	2357.18	0.73	12.27	0.7	379.64	19.48	403.7	
2	1326.71	1.59	18.99	2.33	226.68	15.06	403.7	
1	2246.3	0.85	15.47	0.83	413.87	20.34	503.7	
2	1161.31	2.08	24.58	2.86	234.92	15.32	503.7	
1	2143.09	0.95	16.41	1.01	387.72	19.69	605.2	
2	1001.36	4.3	39.75	9.3	297.97	17.26	605.2	
1	2029.47	1.17	15.54	1.17	309.43	17.59	705	
2	1152.52	116.51	70.93	202.05	3526.06	59.38	705	
1	1916.84	1.08	19.65	1.37	387.17	19.68	802.1	
2	626.78	71.36	253.05	113.1	987.4	31.42	802.1	
1	1793.34	1.42	16.75	1.89	257.1	16.03	905.2	
1	1678.34	1.64	27.11	2.01	401.01	29.03	994.66	
