pic	energie [MeV]	position	err(pos)	largeur	err(lar)	integral	err(int)	pression[mb]	distance [mm]	P_0 [mb]	X_0 [mm]	a	b
1	8.728626701	2732.85	0.23	5.69	0.26	412.9	20.32	6.43	0.290903424285686	994.66	45	0.00305786	0.371954
1	8.4849764162	2653.17	0.36	7.28	0.33	460.25	21.5	100.7	4.5558281221724				
1	8.2136219198	2564.43	0.45	8.97	0.42	445.97	21.12	200.42	9.06731948605554				
1	7.8980201892	2461.22	0.6	11.52	0.62	429.58	20.73	300.6	13.5996219813806				
1	7.5798804348	2357.18	0.73	12.27	0.7	379.64	19.48	403.7	18.2640299197716				
1	7.240824918	2246.3	0.85	15.47	0.83	413.87	20.34	503.7	22.7881889288802				
1	6.9252231874	2143.09	0.95	16.41	1.01	387.72	19.69	605.2	27.3802103231255				
1	6.5777891342	2029.47	1.17	15.54	1.17	309.43	17.59	705	31.8953210142159				
1	6.2333823624	1916.84	1.08	19.65	1.37	387.17	19.68	802.1	36.2882794120604				
1	5.8557366524	1793.34	1.42	16.75	1.89	257.1	16.03	905.2	40.9526873504514				
1	5.5040827524	1678.34	1.64	27.11	2.01	401.01	29.03	994.66	45				
