pic	energie	position	err(pos)	largeur	err(lar)	integral	err(int)	pression[mb]	distance[mm]	P_0 [mb]	X_0 [mm]	a	b
1	5.4480627572	1660.02	0.25	6.83	0.21	1486.168	38.55	1.62	0.07329137594756	994.66	45	0.00305786	0.371954
1	5.0376062094	1525.79	0.29	8.7	0.25	1542.36	39.27	102.4	4.63273882532725				
1	4.5759610852	1374.82	0.33	10.99	0.26	1600.78	40.01	199.7	9.03474554118995				
1	4.0921770546	1216.61	0.4	13.96	0.32	1674.84	40.92	300.5	13.5950978223715				
1	3.5645738902	1044.07	0.52	18.31	0.45	1664.61	40.8	401.3	18.155450103553				
1	2.989176374	855.9	0.59	21.59	0.49	1695.65	40.74	501.08	22.6696559628416				
1	2.2368204996	609.86	0.72	26.56	0.6	1615.09	40.19	608.7	27.5385558884443				
1	1.440217391	349.35	1.17	30.9	1.31	1341.7	36.63	706.3	31.9541350813343				
2	1.1245850818	246.13	36.48	128.45	32.14	474.96	21.31	706.3	31.9541350813343				
1	1.1245850818	246.13	36.48	128.45	32.14	474.96	21.31	806.39	36.4823658335512				
1	1.9130542828	503.98	0.86	29.08	0.77	1511.56	38.8	653.9	29.5834757605614				
1	1.380283335	329.75	1.16	32.07	1.26	1402.57	37.45	714.65	32.3319023585949				
2	1.006154164	207.4	42.1	116.78	35.28	362.95	19.05	714.65	32.3319023585949				
1	1.1277652562	247.17	1	40.16	1.2	1525.44	39.05	738.8	33.4244867592946				
1	0.8986398064	172.24	1.36	45.47	1.32	1475.01	38.41	762.2	34.4831399674261				
1	0.7830221198	134.43	1.3	40.26	1.26	1290.85	35.93	774.5	35.0396115255464				
1	0.7830221198	134.43	1.3	40.26	1.62	1290.9	35.92	817.3	36.9759515814449				
