pic	energie [MeV]	position	err(pos)	largeur	err(lar)	integral	err(int)	pression[mb]	distance [mm]	P_0 [mb]	X_0 [mm]	a	b
1	8.728626701	2732.85	0.23	5.69	0.26	412.9	20.32	6.43	0.290903424285686	994.66	45	0.00305786	0.371954
2	6.1817045284	1899.94	0.63	9.11	0.65	242.96	15.59	6.43	0.290903424285686				
1	8.4849764162	2653.17	0.36	7.28	0.33	460.25	21.5	100.7	4.5558281221724				
2	5.6979204978	1741.73	0.85	11.2	1.06	253.24	25.11	100.7	4.5558281221724				
1	8.2136219198	2564.43	0.45	8.97	0.42	445.97	21.12	200.42	9.06731948605554				
2	5.322782233	1619.05	1.4	14.61	2.21	177.23	13.21	200.42	9.06731948605554				
1	7.8980201892	2461.22	0.6	11.52	0.62	429.58	20.73	300.6	13.5996219813806				
2	4.881074356	1474.6	1.61	18.89	1.98	235.1	15.33	300.6	13.5996219813806				
1	7.5798804348	2357.18	0.73	12.27	0.7	379.64	19.48	403.7	18.2640299197716				
2	4.4288474406	1326.71	1.59	18.99	2.33	226.68	15.06	403.7	18.2640299197716				
1	7.240824918	2246.3	0.85	15.47	0.83	413.87	20.34	503.7	22.7881889288802				
2	3.9230773966	1161.31	2.08	24.58	2.86	234.92	15.32	503.7	22.7881889288802				
1	6.9252231874	2143.09	0.95	16.41	1.01	387.72	19.69	605.2	27.3802103231255				
2	3.4339726896	1001.36	4.3	39.75	9.3	297.97	17.26	605.2	27.3802103231255				
1	6.5777891342	2029.47	1.17	15.54	1.17	309.43	17.59	705	31.8953210142159				
2	3.8961988072	1152.52	116.51	70.93	202.05	3526.06	59.38	705	31.8953210142159				
1	6.2333823624	1916.84	1.08	19.65	1.37	387.17	19.68	802.1	36.2882794120604				
2	2.2885594908	626.78	71.36	253.05	113.1	987.4	31.42	802.1	36.2882794120604				
1	5.8557366524	1793.34	1.42	16.75	1.89	257.1	16.03	905.2	40.9526873504514				
1	5.5040827524	1678.34	1.64	27.11	2.01	401.01	29.03	994.66	45				
