position	err(pos)	énergie	err(en)	integral	err(int)	 pression[mb]	distance
1660.02	0.25	5.448	0.372718465	1486.168	38.55	1.62	0.07329137594756
1525.79	0.29	5.038	0.3728407794	1542.36	39.27	102.4	4.63273882532725
1374.82	0.33	4.576	0.3729630938	1600.78	40.01	199.7	9.03474554118995
1216.61	0.4	4.092	0.373177144	1674.84	40.92	300.5	13.5950978223715
1044.07	0.52	3.565	0.3735440872	1664.61	40.8	401.3	18.155450103553
855.9	0.59	2.989	0.3737581374	1695.65	40.74	501.08	22.6696559628416
609.86	0.72	2.237	0.3741556592	1615.09	40.19	608.7	27.5385558884443
503.98	0.86	1.913	0.3745837596	1511.56	38.8	653.9	29.5834757605614
349.35	1.17	1.440	0.3755316962	1341.7	36.63	706.3	31.9541350813343
329.75	1.16	1.380	0.3755011176	1402.57	37.45	714.65	32.3319023585949
247.17	1	1.128	0.37501186	1525.44	39.05	738.8	33.4244867592946
172.24	1.36	0.899	0.3761126896	1475.01	38.41	762.2	34.4831399674261
134.43	1.3	0.783	0.375929218	1290.85	35.93	774.5	35.0396115255464
63.46	1.48	0.566	0.4835047328	474.96	21.31	806.39	36.4823658335512
14.74	1.27	0.417	0.375929218	1290.9	35.92	817.3	36.9759515814449
0	0	0	0	14	0	836,5	37.845

