position	err(pos)	Energie	err(en)	integral	err(int)	pression[mb]	distance
1899.94	0.63	6.182	0.374	242.96	15.59	6.43	0.291
1741.73	0.85	5.698	0.375	253.24	25.11	100.7	4.556
1619.05	1.4	5.323	0.376	177.23	13.21	200.42	9.067
1474.6	1.61	4.881	0.377	235.1	15.33	300.6	13.600
1326.71	1.59	4.429	0.377	226.68	15.06	403.7	18.264
1161.31	2.08	3.923	0.378	234.92	15.32	503.7	22.788
1001.36	4.3	3.434	0.385	297.97	17.26	605.2	27.380
872.52	86.51	3.049	0.728	3526.06	59.38	705	31.895
626.78	71.36	2.289	0.590	987.4	31.42	802.1	36.288
0	0	0	0	32	0	905.2	40.953
