position	err(pos)	Energie	err(en)	integral	err(int)	pression[mb]	distance
2732.85	0.23	8.729	0.373	412.9	20.32	6.43	0.291
2653.17	0.36	8.485	0.373	460.25	21.5	100.7	4.556
2564.43	0.45	8.214	0.373	445.97	21.12	200.42	9.067
2461.22	0.6	7.898	0.374	429.58	20.73	300.6	13.600
2357.18	0.73	7.580	0.374	379.64	19.48	403.7	18.264
2246.3	0.85	7.241	0.375	413.87	20.34	503.7	22.788
2143.09	0.95	6.925	0.375	387.72	19.69	605.2	27.380
2029.47	1.17	6.578	0.376	309.43	17.59	705	31.895
1916.84	1.08	6.233	0.375	387.17	19.68	802.1	36.288
1793.34	1.42	5.856	0.376	257.1	16.03	905.2	40.953
1678.34	1.64	5.504	0.377	401.01	29.03	994.66	45.000

